MovieID,MovieName,Duration,MovieLanguage,ReleaseYear,MovieKey,Movie_Rate
M0163,How to Train Your Dragon 2 ,102,English,2014,163,3.9
M0164,Gods of Egypt ,126,English,2016,164,4.9
M0165,Stealth ,121,English,2005,165,2.1
M0166,Watchmen ,215,English,2009,166,4.7
M0167,Lethal Weapon 4 ,127,English,1998,167,4.4
M0168,Hulk ,138,English,2003,168,2.7
M0169,G.I. Joe: Retaliation ,122,English,2013,169,2.9
M0170,Sahara ,124,English,2005,170,4.4
M0171,Final Fantasy: The Spirits Within ,106,English,2001,171,4.5
M0172,Captain America: The First Avenger ,124,English,2011,172,2.8
M0173,The World Is Not Enough ,128,English,1999,173,2.3
M0174,Master and Commander: The Far Side of the World ,138,English,2003,174,4.2
M0175,The Twilight Saga: Breaking Dawn - Part 2 ,115,English,2012,175,3.2
M0176,Happy Feet 2 ,100,English,2011,176,3.5
M0177,The Incredible Hulk ,135,English,2008,177,2.4
M0178,Miami Vice ,60,English,2006,178,2.6
M0179,The BFG ,117,English,2016,179,1.9
M0180,The Revenant ,156,English,2015,180,4.3
M0181,Turbo ,96,English,2013,181,4.6
M0182,Rango ,107,English,2011,182,2.0
M0183,Penguins of Madagascar ,92,English,2014,183,3.8
M0184,The Bourne Ultimatum ,115,English,2007,184,4.7
M0185,Kung Fu Panda ,92,English,2008,185,4.6
M0186,Ant-Man ,117,English,2015,186,2.3
M0187,The Hunger Games: Catching Fire ,146,English,2013,187,1.0
M0188,The Twilight Saga: Breaking Dawn - Part 2 ,115,English,2012,188,2.9
M0189,Home ,94,English,2015,189,4.3
M0190,War of the Worlds ,116,English,2005,190,2.8
M0191,Bad Boys II ,147,English,2003,191,2.1
M0192,Puss in Boots ,90,English,2011,192,2.9
M0193,Salt ,101,English,2010,193,1.8
M0194,Noah ,138,English,2014,194,4.1
M0195,The Adventures of Tintin ,107,English,2011,195,4.5
M0196,Harry Potter and the Prisoner of Azkaban ,142,English,2004,196,3.1
M0197,Australia ,165,English,2008,197,1.6
M0198,After Earth ,100,English,2013,198,3.5
M0199,Dinosaur ,82,English,2000,199,1.9
M0200,Harry Potter and the Deathly Hallows: Part II ,107,English,2011,200,3.0094669848846456
M0201,Night at the Museum: Secret of the Tomb ,98,English,2014,201,2.3
M0202,Megamind ,95,English,2010,202,2.8
M0203,Harry Potter and the Sorcerer's Stone ,159,English,2001,203,4.1
M0204,R.I.P.D. ,96,English,2013,204,1.9
M0205,Godzilla Resurgence ,120,Japanese,2016,205,3.8
M0206,Pirates of the Caribbean: The Curse of the Black Pearl ,143,English,2003,206,4.4
M0207,Harry Potter and the Deathly Hallows: Part I ,107,English,2010,207,3.0094669848846456
M0208,The Hunger Games: Mockingjay - Part 1 ,123,English,2014,208,2.1
M0209,The Da Vinci Code ,174,English,2006,209,1.2
M0210,Rio 2 ,101,English,2014,210,2.3
M0211,X-Men 2 ,134,English,2003,211,1.3
M0212,Fast Five ,132,English,2011,212,2.3
M0213,Sherlock Holmes: A Game of Shadows ,129,English,2011,213,2.0
M0214,Clash of the Titans ,106,English,2010,214,3.0
M0215,Total Recall ,113,English,1990,215,1.1
M0216,The 13th Warrior ,102,English,1999,216,3.4
M0217,The Bourne Legacy ,135,English,2012,217,3.0
M0218,Batman & Robin ,125,English,1997,218,3.3
M0219,How the Grinch Stole Christmas ,110,English,2000,219,3.5
M0220,The Day After Tomorrow ,124,English,2004,220,4.7
M0221,Mission: Impossible II ,123,English,2000,221,4.5
M0222,The Perfect Storm ,130,English,2000,222,2.0
M0223,Fantastic 4: Rise of the Silver Surfer ,92,English,2007,223,3.7
M0224,Life of Pi ,127,English,2012,224,2.4
M0225,Ghost Rider ,123,English,2007,225,4.4
M0226,Jason Bourne ,123,English,2016,226,2.1
M0227,Charlie's Angels: Full Throttle ,107,English,2003,227,3.3
M0228,Prometheus ,124,English,2012,228,4.3
M0229,Stuart Little 2 ,77,English,2002,229,3.5
M0230,Elysium ,109,English,2013,230,3.2
M0231,The Chronicles of Riddick ,134,English,2004,231,1.3
M0232,RoboCop ,117,English,2014,232,4.7
M0233,Speed Racer ,135,English,2008,233,3.6
M0234,How Do You Know ,121,English,2010,234,3.9
M0235,Knight and Day ,117,English,2010,235,4.8
M0236,Oblivion ,124,English,2013,236,2.0
M0237,Star Wars: Episode III - Revenge of the Sith ,140,English,2005,237,2.3
M0238,Star Wars: Episode II - Attack of the Clones ,142,English,2002,238,1.0
M0239,"Monsters, Inc. ",92,English,2001,239,1.0
M0240,The Wolverine ,138,English,2013,240,2.5
M0241,Star Wars: Episode I - The Phantom Menace ,136,English,1999,241,1.1
M0242,The Croods ,98,English,2013,242,2.9
M0243,Asterix at the Olympic Games ,116,French,2008,243,2.4
M0244,Windtalkers ,153,English,2002,244,1.9
M0245,The Huntsman: Winter's War ,120,English,2016,245,2.1
M0246,Teenage Mutant Ninja Turtles ,101,English,2014,246,2.8
M0247,Gravity ,91,English,2013,247,3.1
M0248,Dante's Peak ,108,English,1997,248,2.1
M0249,Teenage Mutant Ninja Turtles: Out of the Shadows ,112,English,2016,249,1.6
M0250,Fantastic Four ,100,English,2015,250,1.5
M0251,Night at the Museum ,108,English,2006,251,2.7
M0252,San Andreas ,114,English,2015,252,3.5
M0253,Tomorrow Never Dies ,119,English,1997,253,4.1
M0254,The Patriot ,142,English,2000,254,3.4
M0255,Ocean's Twelve ,125,English,2004,255,2.6
M0256,Mr. & Mrs. Smith ,126,English,2005,256,4.2
M0257,Insurgent ,119,English,2015,257,4.0
M0258,The Aviator ,170,English,2004,258,2.3
M0259,Gulliver's Travels ,85,English,2010,259,1.1
M0260,The Green Hornet ,119,English,2011,260,3.2
M0261,The A-Team ,60,English,2006,261,4.8
M0262,300: Rise of an Empire ,102,English,2014,262,3.6
M0263,The Smurfs ,103,English,2011,263,4.9
M0264,Home on the Range ,76,English,2004,264,1.3
M0265,Allegiant ,120,English,2016,265,2.3
M0266,Real Steel ,127,English,2011,266,4.4
M0267,The Smurfs 2 ,105,English,2013,267,2.6
M0268,Speed 2: Cruise Control ,121,English,1997,268,1.0
M0269,Ender's Game ,114,English,2013,269,1.7
M0270,Live Free or Die Hard ,129,English,2007,270,2.0
M0271,The Lord of the Rings: The Fellowship of the Ring ,171,English,2001,271,1.4
M0272,Around the World in 80 Days ,120,English,2004,272,2.1
M0273,Ali ,165,English,2001,273,2.5
M0274,The Cat in the Hat ,82,English,2003,274,2.7
M0275,"I, Robot ",115,English,2004,275,3.8
M0276,Kingdom of Heaven ,194,English,2005,276,4.7
M0277,Stuart Little ,84,English,1999,277,2.8
M0278,The Princess and the Frog ,97,English,2009,278,3.4
M0279,The Martian ,151,English,2015,279,3.4
M0280,"10,000 B.C.             ",22,English,2006,280,1.1
M0281,The Island ,136,English,2005,281,2.0
M0282,Town & Country ,104,English,2001,282,3.6
M0283,Gone in Sixty Seconds ,127,English,2000,283,2.9
M0284,Gladiator ,171,English,2000,284,1.8
M0285,Minority Report ,145,English,2002,285,4.2
M0286,Harry Potter and the Chamber of Secrets ,174,English,2002,286,4.5
M0287,Casino Royale ,144,English,2006,287,4.4
M0288,Planet of the Apes ,119,English,2001,288,4.1
M0289,Terminator 2: Judgment Day ,153,English,1991,289,2.9
M0290,Public Enemies ,140,English,2009,290,4.6
M0291,American Gangster ,176,English,2007,291,1.5
M0292,True Lies ,141,English,1994,292,4.6
M0293,The Taking of Pelham 1 2 3 ,106,English,2009,293,4.1
M0294,Little Fockers ,98,English,2010,294,1.4
M0295,The Other Guys ,116,English,2010,295,1.4
M0296,Eraser ,115,English,1996,296,4.2
M0297,Django Unchained ,165,English,2012,297,4.6
M0298,The Hunchback of Notre Dame ,91,English,1996,298,3.5
M0299,The Emperor's New Groove ,78,English,2000,299,4.0
M0300,The Expendables 2 ,103,English,2012,300,1.5
M0301,National Treasure ,131,English,2004,301,3.1
M0302,Eragon ,104,English,2006,302,1.1
M0303,Where the Wild Things Are ,101,English,2009,303,2.5
M0304,Pan ,111,English,2015,304,3.3
M0305,Epic ,102,English,2013,305,2.4
M0306,The Tourist ,103,English,2010,306,1.1
M0307,End of Days ,121,English,1999,307,3.9
M0308,Blood Diamond ,143,English,2006,308,1.1
M0309,The Wolf of Wall Street ,240,English,2013,309,1.9
M0310,Batman Forever ,121,English,1995,310,2.4
M0311,Starship Troopers ,129,English,1997,311,3.8
M0312,Cloud Atlas ,172,English,2012,312,2.6
M0313,Legend of the Guardians: The Owls of Ga'Hoole ,101,English,2010,313,1.5
M0314,Catwoman ,87,English,2004,314,1.8
M0315,Hercules ,101,English,2014,315,2.2
M0316,Treasure Planet ,95,English,2002,316,2.0
M0317,Land of the Lost ,102,English,2009,317,2.9
M0318,The Expendables 3 ,131,English,2014,318,2.3
M0319,Point Break ,114,English,2015,319,3.0
M0320,Son of the Mask ,94,English,2005,320,1.3
M0321,In the Heart of the Sea ,122,English,2015,321,3.7
M0322,The Adventures of Pluto Nash ,95,English,2002,322,1.6
M0323,Green Zone ,115,English,2010,323,1.3
M0324,The Peanuts Movie ,88,English,2015,324,1.5
M0325,The Spanish Prisoner ,110,English,1997,325,1.9
M0326,The Mummy Returns ,130,English,2001,326,1.9
M0327,Gangs of New York ,216,English,2002,327,2.9
M0328,The Flowers of War ,146,Mandarin,2011,328,1.9
M0329,Surf's Up ,85,English,2007,329,3.0
M0330,The Stepford Wives ,93,English,2004,330,2.4
M0331,Black Hawk Down ,152,English,2001,331,2.0
M0332,The Campaign ,85,English,2012,332,2.8
M0333,The Fifth Element ,126,English,1997,333,4.6
M0334,Sex and the City 2 ,146,English,2010,334,1.8
M0335,The Road to El Dorado ,89,English,2000,335,3.1
M0336,Ice Age: Continental Drift ,88,English,2012,336,2.3
M0337,Cinderella ,105,English,2015,337,4.7
M0338,The Lovely Bones ,135,English,2009,338,2.9
M0339,Finding Nemo ,100,English,2003,339,4.2
M0340,The Lord of the Rings: The Return of the King ,192,English,2003,340,2.0
M0341,The Lord of the Rings: The Two Towers ,172,English,2002,341,1.4
M0342,Seventh Son ,102,English,2014,342,3.3
M0343,Lara Croft: Tomb Raider ,100,English,2001,343,3.5
M0344,Transcendence ,119,English,2014,344,4.1
M0345,Jurassic Park III ,92,English,2001,345,3.3
M0346,Rise of the Planet of the Apes ,105,English,2011,346,4.8
M0347,The Spiderwick Chronicles ,107,English,2008,347,4.2
M0348,A Good Day to Die Hard ,101,English,2013,348,4.3
M0349,The Alamo ,137,English,2004,349,4.6
M0350,The Incredibles ,115,English,2004,350,2.7
M0351,Cutthroat Island ,124,English,1995,351,2.8
M0352,Percy Jackson & the Olympians: The Lightning Thief ,118,English,2010,352,2.8
M0353,Men in Black ,98,English,1997,353,1.4
M0354,Toy Story 2 ,82,English,1999,354,2.9
M0355,Unstoppable ,98,English,2010,355,1.4
M0356,Rush Hour 2 ,90,English,2001,356,4.0
M0357,What Lies Beneath ,130,English,2000,357,1.2
M0358,Cloudy with a Chance of Meatballs ,90,English,2009,358,2.5
M0359,Ice Age: Dawn of the Dinosaurs ,94,English,2009,359,4.9
M0360,The Secret Life of Walter Mitty ,114,English,2013,360,3.5
M0361,Charlie's Angels ,94,English,2000,361,2.9
M0362,The Departed ,151,English,2006,362,3.2
M0363,Mulan ,88,English,1998,363,1.3
M0364,Tropic Thunder ,121,English,2008,364,3.8
M0365,The Girl with the Dragon Tattoo ,158,English,2011,365,4.5
M0366,Die Hard with a Vengeance ,128,English,1995,366,2.3
M0367,Sherlock Holmes ,128,English,2009,367,4.8
M0368,Ben-Hur ,141,English,2016,368,3.2
M0369,Atlantis: The Lost Empire ,95,English,2001,369,2.1
M0370,Alvin and the Chipmunks: The Road Chip ,92,English,2015,370,3.2
M0371,Valkyrie ,121,English,2008,371,4.3
M0372,You Don't Mess with the Zohan ,113,English,2008,372,1.2
M0373,Pixels ,106,English,2015,373,2.4
M0374,A.I. Artificial Intelligence ,146,English,2001,374,1.8
M0375,The Haunted Mansion ,88,English,2003,375,2.7
M0376,Contact ,150,English,1997,376,3.8
M0377,Hollow Man ,119,English,2000,377,3.2
M0378,The Interpreter ,128,Aboriginal,2005,378,2.9
M0379,Percy Jackson: Sea of Monsters ,106,English,2013,379,2.6
M0380,Lara Croft Tomb Raider: The Cradle of Life ,117,English,2003,380,3.8
M0381,Now You See Me 2 ,129,English,2016,381,1.1
M0382,The Saint ,116,English,1997,382,1.6
M0383,Spy Game ,114,English,2001,383,4.4
M0384,Mission to Mars ,114,English,2000,384,2.7
M0385,Rio ,96,English,2011,385,4.8
M0386,Bicentennial Man ,132,English,1999,386,2.3
M0387,Volcano ,104,English,1997,387,4.0
M0388,The Devil's Own ,111,English,1997,388,2.0
M0389,K-19: The Widowmaker ,138,English,2002,389,2.2
M0390,Fantastic Four ,100,English,2015,390,2.4
M0391,Conan the Barbarian ,129,English,1982,391,5.0
M0392,Cinderella Man ,144,English,2005,392,1.1
M0393,The Nutcracker in 3D ,110,English,2010,393,1.2
M0394,Seabiscuit ,140,English,2003,394,1.2
M0395,Twister ,113,English,1996,395,3.6
M0396,The Fast and the Furious ,106,English,2001,396,3.6
M0397,Cast Away ,143,English,2000,397,2.4
M0398,Happy Feet ,108,English,2006,398,2.9
M0399,The Bourne Supremacy ,108,English,2004,399,1.7
M0400,Air Force One ,124,English,1997,400,2.8
M0401,Ocean's Eleven ,116,English,2001,401,3.9
M0402,The Three Musketeers ,110,English,2011,402,1.1
M0403,Hotel Transylvania ,91,English,2012,403,3.1
M0404,Enchanted ,107,English,2007,404,4.4
M0405,Hannibal ,44,English,2006,405,1.4
M0406,Safe House ,115,English,2012,406,1.9
M0407,102 Dalmatians ,100,English,2000,407,3.8
M0408,Tower Heist ,104,English,2011,408,4.0
M0409,The Holiday ,138,English,2006,409,1.4
M0410,Enemy of the State ,140,English,1998,410,3.6
M0411,It's Complicated ,120,English,2009,411,1.6
M0412,Ocean's Thirteen ,122,English,2007,412,1.7
M0413,Open Season ,83,English,2006,413,2.5
M0414,Divergent ,139,English,2014,414,4.9
M0415,Enemy at the Gates ,131,English,2001,415,3.1
M0416,The Rundown ,104,English,2003,416,3.8
M0417,Last Action Hero ,130,English,1993,417,1.5
M0418,Memoirs of a Geisha ,145,English,2005,418,3.6
M0419,The Fast and the Furious: Tokyo Drift ,104,English,2006,419,1.8
M0420,Arthur Christmas ,97,English,2011,420,1.3
M0421,Meet Joe Black ,178,English,1998,421,3.3
M0422,Collateral Damage ,108,English,2002,422,1.8
M0423,All That Jazz ,123,English,1979,423,2.8
M0424,Mirror Mirror ,106,English,2012,424,4.4
M0425,Scott Pilgrim vs. the World ,112,English,2010,425,2.8
M0426,The Core ,135,English,2003,426,3.7
M0427,Nutty Professor II: The Klumps ,109,English,2000,427,2.2
M0428,Scooby-Doo ,86,English,2002,428,3.4
M0429,Dredd ,95,English,2012,429,3.3
M0430,Click ,107,English,2006,430,2.1
M0431,Creepshow ,130,English,1982,431,1.1
M0432,Cats & Dogs: The Revenge of Kitty Galore ,82,English,2010,432,4.2
M0433,Jumper ,88,English,2008,433,4.7
M0434,Hellboy II: The Golden Army ,120,English,2008,434,4.7
M0435,Zodiac ,162,English,2007,435,2.7
M0436,The 6th Day ,123,English,2000,436,1.9
M0437,Bruce Almighty ,101,English,2003,437,1.6
M0438,The Expendables ,113,English,2010,438,3.1
M0439,Mission: Impossible ,110,English,1996,439,4.6
M0440,The Hunger Games ,142,English,2012,440,2.5
M0441,The Hangover Part II ,102,English,2011,441,1.2
M0442,Batman Returns ,126,English,1992,442,3.5
M0443,Over the Hedge ,83,English,2006,443,2.2
M0444,Lilo & Stitch ,85,English,2002,444,3.8
M0445,Charlotte's Web ,97,English,2006,445,1.6
M0446,Deep Impact ,120,English,1998,446,3.5
M0447,RED 2 ,116,English,2013,447,2.4
M0448,The Longest Yard ,113,English,2005,448,3.6
M0449,Alvin and the Chipmunks: Chipwrecked ,87,English,2011,449,4.4
M0450,Grown Ups 2 ,101,English,2013,450,4.2
M0451,Get Smart ,110,English,2008,451,4.5
M0452,Something's Gotta Give ,128,English,2003,452,1.5
M0453,Shutter Island ,138,English,2010,453,2.4
M0454,Four Christmases ,88,English,2008,454,2.6
M0455,Robots ,91,English,2005,455,4.6
M0456,Face/Off ,138,English,1997,456,2.9
M0457,Bedtime Stories ,99,English,2008,457,4.6
M0458,Road to Perdition ,117,English,2002,458,3.3
M0459,Just Go with It ,117,English,2011,459,1.7
M0460,Daredevil ,54,English,2006,460,3.9
M0461,Con Air ,123,English,1997,461,2.4
M0462,Eagle Eye ,118,English,2008,462,1.6
M0463,Cold Mountain ,154,English,2003,463,1.8
M0464,The Book of Eli ,118,English,2010,464,1.0
M0465,Flubber ,90,English,1997,465,2.1
M0466,The Haunting ,113,English,1999,466,1.8
M0467,Space Jam ,88,English,1996,467,1.7
M0468,The Pink Panther ,93,English,2006,468,2.2
M0469,The Day the Earth Stood Still ,104,English,2008,469,2.2
M0470,Conspiracy Theory ,135,English,1997,470,1.2
M0471,Fury ,134,English,2014,471,4.0
M0472,Six Days Seven Nights ,98,English,1998,472,1.8
M0473,Yogi Bear ,80,English,2010,473,2.8
M0474,Spirit: Stallion of the Cimarron ,83,English,2002,474,2.3
M0475,Zookeeper ,102,English,2011,475,1.5
M0476,Lost in Space ,130,English,1998,476,4.8
M0477,The Manchurian Candidate ,129,English,2004,477,2.2
M0478,Déjà Vu ,117,English,1997,478,4.1
M0479,Hotel Transylvania 2 ,89,English,2015,479,1.1
M0480,Bewitched ,25,English,2006,480,4.1
M0481,Fantasia 2000 ,74,English,1999,481,4.4
M0482,The Time Machine ,96,English,2002,482,1.3
M0483,Mighty Joe Young ,114,English,1998,483,2.6
M0484,Swordfish ,99,English,2001,484,4.9
M0485,The Legend of Zorro ,129,Spanish,2005,485,2.3
M0486,What Dreams May Come ,113,English,1998,486,3.0
M0487,Little Nicky ,90,English,2000,487,4.1
M0488,The Brothers Grimm ,118,English,2005,488,4.8
M0489,Mars Attacks! ,106,English,1996,489,1.2
M0490,Evolution ,81,French,2015,490,4.9
M0491,The Edge ,117,English,1997,491,3.3
M0492,Surrogates ,89,English,2009,492,2.8
M0493,Thirteen Days ,145,English,2000,493,2.8
M0494,Daylight ,114,English,1996,494,4.8
M0495,Walking with Dinosaurs 3D ,87,English,2013,495,1.1
M0496,Battlefield Earth ,119,English,2000,496,3.3
M0497,Looney Tunes: Back in Action ,91,English,2003,497,3.7
M0498,Nine ,118,English,2009,498,3.8
M0499,Timeline ,116,English,2003,499,3.2
M0500,The Postman ,177,English,1997,500,2.2
